Script,mCap
ORCHPHARMA,3544
NTPC,323384
MAITHANALL,3435
PRIVISCL,9736
MAZDOCK,131615
MARATHON,3046
JMFINANCIL,13946
APOLLOHOSP,101442
TECHNOE,17492
ACEINTEG,29
IRIS,513
TIINDIA,57512
INFOBEAN,942
JAMNAAUTO,3659
CREATIVE,974
DAMCAPITAL,1934
GABRIEL,8948
SMLISUZU,2741
DLF,211218
MANAKSTEEL,408
TASTYBITE,2744
PCBL,15116
NAVNETEDUL,3121
PNBGILTS,1769
BANKIETF,0
KIRLOSBROS,14413
AMNPLST,1342
WEL,2406
HDFCVALUE,0
ORIENTTECH,1435
BHAGERIA,822
GOODLUCK,3656
HEG,9662
DATAMATICS,3649
REPRO,769
METROPOLIS,8865
MEGASTAR,278
HDFCNIF100,0
KANSAINER,19715
AKUMS,8764
LICNETFSEN,0
BLS,15204
RAILTEL,14051
